"BaseName","Count","Families","Paths"
"Logo","2","app-layout | legacy-layout-components","src\app\layout\Logo.tsx | src\components\layout\Logo.tsx"
"MobileNavMenu","2","app-layout | legacy-layout-components","src\app\layout\MobileNavMenu.tsx | src\components\layout\MobileNavMenu.tsx"
"NavDropdown","2","app-layout | legacy-layout-components","src\app\layout\NavDropdown.tsx | src\components\layout\NavDropdown.tsx"
"NotFoundPage","2","legacy-pages | other","src\app\system\NotFoundPage.tsx | src\pages\NotFoundPage.tsx"
"PageShell","2","app-layout | legacy-layout-components","src\app\layout\PageShell.tsx | src\components\layout\PageShell.tsx"
"PlannerCanvas","2","shared-or-legacy-components","src\components\PlannerCanvas.tsx | src\components\planner\PlannerCanvas.tsx"
"pricing","3","feature-pages-and-logic | other","src\data\pricing.ts | src\features\pricing\pricing.ts | src\proposal\bom\pricing.ts"
"ProfileModal","4","app-components | other | shared-or-legacy-components","src\app\ProfileModal.tsx | src\app\components\ProfileModal.tsx | src\components\ProfileModal.tsx | src\_legacy\components\ProfileModal.tsx"
"ProjectsPage","2","feature-pages-and-logic | legacy-pages","src\features\projects\ProjectsPage.tsx | src\pages\ProjectsPage.tsx"
"projectsStore","2","other","src\state\projectsStore.ts | src\state\app\projectsStore.ts"
"projectStore","2","feature-pages-and-logic | other","src\features\projects\projectStore.ts | src\services\database\ProjectStore.ts"
"ProposalBuilderPage","2","feature-pages-and-logic | legacy-tool-pages","src\features\proposals\ProposalBuilderPage.tsx | src\pages\tools\ProposalBuilderPage.tsx"
"ProposalLayout","2","app-layout | legacy-layout-components","src\app\layout\ProposalLayout.tsx | src\components\layout\ProposalLayout.tsx"
"PublicLandingPage","2","legacy-pages | public-pages","src\pages\PublicLandingPage.tsx | src\pages\public\PublicLandingPage.tsx"
"PublicShell","2","app-shell | legacy-layout","src\app\shell\PublicShell.tsx | src\layout\PublicShell.tsx"
"recentTools","3","shared-or-legacy-components","src\components\app\tools\recentTools.ts | src\components\app\tools\recentTools.tsx | src\components\tools\recentTools.ts"
"recommendWyrestorm","3","other","src\app\import\recommendWyrestorm.ts | src\app\import\recommendWyrestorm.tsx | src\import\recommendWyrestorm.ts"
"RoomWizardPage","2","feature-pages-and-logic | legacy-tool-pages","src\features\roomwizard\RoomWizardPage.tsx | src\pages\tools\RoomWizardPage.tsx"
"schemas","2","other","src\services\schemas.ts | src\services\schemas\schemas.ts"
"SideNav","2","app-navigation | legacy-navigation","src\app\navigation\SideNav.tsx | src\components\nav\SideNav.tsx"
"technologyAnalyzer","2","other","src\utils\technologyAnalyzer.ts | src\utils\cableRouting\technologyAnalyzer.ts"
"TemplatesPage","2","feature-pages-and-logic","src\features\misc\TemplatesPage.tsx | src\features\tools\TemplatesPage.tsx"
"textExtractors","2","other","src\app\import\textExtractors.ts | src\import\textExtractors.ts"
"theme","2","other","src\app\theme\theme.ts | src\ui2\theme\theme.ts"
"ToolGrid","2","shared-or-legacy-components","src\components\app\tools\ToolGrid.tsx | src\components\tools\ToolGrid.tsx"
"ToolHubPage","2","feature-pages-and-logic | legacy-pages","src\features\tools\ToolHubPage.tsx | src\pages\ToolHubPage.tsx"
"TrainingHubPage","2","feature-pages-and-logic | legacy-tool-pages","src\features\misc\TrainingHubPage.tsx | src\pages\tools\TrainingHubPage.tsx"
"types","11","other | shared-or-legacy-components","src\catalog\types.ts | src\competitor\types.ts | src\components\types.ts | src\core\engineering\types.ts | src\core\engineering\rules\types.ts | src\proposal\bom\types.ts | src\services\auth\types.ts | src\services\database\types.ts | src\services\export\types.ts | src\state\types.ts | src\utils\cableRouting\types.ts"
"useLocalStorage","2","other","src\app\storage\useLocalStorage.ts | src\hooks\useLocalStorage.ts"
"VideoWallPlannerPage","2","feature-pages-and-logic | legacy-tool-pages","src\features\misc\VideoWallPlannerPage.tsx | src\pages\tools\VideoWallPlannerPage.tsx"
"WelcomeScreen","2","feature-pages-and-logic | legacy-pages","src\features\misc\WelcomeScreen.tsx | src\pages\WelcomeScreen.tsx"
"wyrestormSkuCatalog.2026","2","other","src\data\wyrestormSkuCatalog.2026.ts | src\services\sku\wyrestormSkuCatalog.2026.ts"
