sku,title,family,role,technologyType,expectedTechnologyType,productRole,catalogVisibility,primaryCategory,category,subCategory,productType,subClassifications,profileFeatureCount,profilePortCount,officialPageStatus,correctionSource,issues
CAM-210-NDI-PTZ,CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm,Camera,NDI camera / bridge,Camera / Capture,Camera / Capture,primary-hardware,default,Camera / Capture,Camera endpoint,PTZ camera,NDI camera endpoint,camera|ptz|ndi,12,17,200,product-manager-profile:wyrestorm-product-manager-v1,
CAM-210-PTZ,PTZ Camera with AI Tracking | CAM-210-PTZ 1080p – WyreStorm,Camera,PTZ camera,Camera / Capture,Camera / Capture,primary-hardware,default,Camera / Capture,Camera endpoint,PTZ camera,Camera endpoint,camera|ptz,11,16,200,product-manager-profile:wyrestorm-product-manager-v1,
CAM-420-PTZ,4K Dual-Lens AI PTZ Camera with AI features - WyreStorm,Camera,PTZ camera,Camera / Capture,Camera / Capture,primary-hardware,default,Camera / Capture,Camera endpoint,PTZ camera,NDI camera endpoint,camera|ptz|ndi,14,12,200,product-manager-profile:wyrestorm-product-manager-v1,
COM-MIC-HUB,Microphone Hub - WyreStorm,Unclassified,Product,Unified Comms,Unified Comms,primary-hardware,default,Unified Communications,Microphone system,UC microphone accessory,Microphone endpoint,microphone,9,14,200,product-manager-profile:wyrestorm-product-manager-v1,
CON-H2-DD-EARC,"4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm",Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,5,1,200,product-manager-profile:wyrestorm-product-manager-v1,
CON-H2-EDID,4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,EDID / re-clocking,Inline signal utility,signal-utility|edid|audio-conversion,15,5,200,product-manager-profile:wyrestorm-product-manager-v1,
CON-H2-SCL,4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm,Unclassified,Product,Audio / Control,Audio / Control,system-controller,conditional-default,Control,Signal management,Audio extraction / conversion,Inline signal utility,signal-utility|audio-conversion,13,5,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-G2,"4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm",Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,9,9,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-H2,100m 4K HDBaseT Extender with USB - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,15,8,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-H2-EARC,100m 4K60 AVX Extender with eARC - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,15,8,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-IW-USBC,100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,11,11,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-KVM,WyreStorm EX-100-KVM 4K HDMI & USB KVM Extender over HDBaseT,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Endpoint,Signal extension endpoint,extender|usb-kvm,13,12,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-KVM-8K,"100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm",Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,12,6,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-KVM-IP,4K 30Hz KVM Extender over IP | EX-100-KVM-IP - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver,8,5,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-100-USB3,USB 3.0 Extender | EX-100-USB3 Gen 1 Standard - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Endpoint,Signal extension endpoint,extender|usb-kvm,5,8,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-35-8K,"35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm",Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver,12,7,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-35-G2,WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Endpoint,Signal extension endpoint,extender,2,2,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-35-H2,35m 4K60 HDBaseT Extender - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,14,12,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-35-H2-ARC,ARC HDMI Extender - EX-35-H2-ARC 18Gbps 4K HDR HDBaseT Extender - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,15,10,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-40-G3,40m 1080p UTP Extender - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,6,11,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-40-H2-ARC,40m 4K HDBaseT Extender with ARC and Audio Breakout - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,12,27,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-40-KVM-5K,5K30Hz HDBT 3.0 Box to Box Extender Kit - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,14,19,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-60-USB2,EX-60-USB2 USB 2.0 Extender over Cat6 with 4-Port Hub,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,6,10,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-60D-KVM,60m Dual HDMI KVM Extender,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,primary-hardware,default,Video,Extension,KVM extender,Dual HDMI KVM extender,extender|kvm|dual-display,5,5,product-guide-pdf,,
EX-70-G2,EX-70-G2 4K HDBaseT Extender Set with HDCP 2.2 & 2-way PoH - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,10,11,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-70-H2,4K HDBaseT Extender – High-Quality Video and Audio Transmission,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,HDBaseT extender,Receiver,Signal extension endpoint,extender|receiver|transmitter,13,10,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-70-H2C,EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,endpoint-hardware,default,Extension,USB / KVM extender,Receiver,Signal extension endpoint,extender|usb-kvm|receiver|transmitter,10,6,200,product-manager-profile:wyrestorm-product-manager-v1,
EX-70-H2X,70m 4K60 HDBaseT Extender with Ethernet - WyreStorm,Extender,Signal extender,Extender / HDBaseT,Extender / HDBaseT,primary-hardware,default,Extension,HDBaseT extender,Endpoint,Signal extension endpoint,extender,8,0,200,product-manager-profile:wyrestorm-product-manager-v1,
