sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"SW-0204-VW","4K 60Hz 4-Output Video Wall","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"SW-0204-VW","4K 60Hz 4-Output Video Wall","Video Processor","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"SW-0206-VW","4K 60Hz 6-Output Video Wall","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"SW-0206-VW","4K 60Hz 6-Output Video Wall","Video Processor","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"SW-120-TX3","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 Transmitter","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-120-TX3","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 Transmitter","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-120-TX3-UK","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 2-Gang In-Wall Transmitter","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-120-TX3-UK","4K60Hz 4:4:4, 5K30Hz 4:4:4(HDMI) HDBaseT 3.0 2-Gang In-Wall Transmitter","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-130-TX-UK","3-Input 4K60Hz 4:2:0 In-wall HDBaseT TM Switcher","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-130-TX-UK","3-Input 4K60Hz 4:2:0 In-wall HDBaseT TM Switcher","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-220-TX-W","Synergy TM 2-Input 4K30Hz Switcher","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-220-TX-W","Synergy TM 2-Input 4K30Hz Switcher","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-510-TX","Synergy TM 4-input 4K60Hz 4:2:0 HDBaseT TM Switcher","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-510-TX","Synergy TM 4-input 4K60Hz 4:2:0 HDBaseT TM Switcher","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-515-RX","Synergy TM 3-input 4K60Hz 4:2:0 HDBaseT TM Switching Receiver","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-515-RX","Synergy TM 3-input 4K60Hz 4:2:0 HDBaseT TM Switching Receiver","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-640L-TX-W","Synergy 4-Input 4K60Hz Presentation Switcher","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-640L-TX-W","Synergy 4-Input 4K60Hz Presentation Switcher","Unified Comms","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SYN-CTL-HUB","Ethernet Protocol Converter for the SYN-TOUCH10","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-CTL-HUB","Ethernet Protocol Converter for the SYN-TOUCH10","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KEY10","Synergy TM 10-button Keypad Controller","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KEY10","Synergy TM 10-button Keypad Controller","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-TOUCH10","Synergy TM 10.1"" All-In-One Touchpad IP Controller","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-TOUCH10","Synergy TM 10.1"" All-In-One Touchpad IP Controller","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"TS-280-EU","2-Gang 2.8"" Touchscreen Controller for Presentation Switcher Solutions","","Unclassified","Product","General AV","medium","General fallback classification"
"TS-280-EU","2-Gang 2.8"" Touchscreen Controller for Presentation Switcher Solutions","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"TX-35-IW","4K60Hz 4:2:0 HDBaseT TM Single Gang In-Wall Transmitter","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-35-IW","4K60Hz 4:2:0 HDBaseT TM Single Gang In-Wall Transmitter","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-35-IW-KVM","4K60Hz 4:2:0 HDMI & USB Single Gange In-Wall HDBT 2.0 Transmitter","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-35-IW-KVM","4K60Hz 4:2:0 HDMI & USB Single Gange In-Wall HDBT 2.0 Transmitter","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-35-IWC-KVM","4K60Hz 4:2:0 USB C Single Gang In-Wall HDBT 2.0 Transmitter","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-35-IWC-KVM","4K60Hz 4:2:0 USB C Single Gang In-Wall HDBT 2.0 Transmitter","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-SCL-HDBT","4K60Hz 4:2:0 HDBaseT TM Scaling Output Card for MX-1616-SCL","","Unclassified","Product","General AV","medium","General fallback classification"
"TX-SCL-HDBT","4K60Hz 4:2:0 HDBaseT TM Scaling Output Card for MX-1616-SCL","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"TX-SCL-HDMI","4K60Hz 4:4:4HDMI Scaling Output Card for MX-1616-SCL","","Unclassified","Product","General AV","medium","General fallback classification"
"TX-SCL-HDMI","4K60Hz 4:4:4HDMI Scaling Output Card for MX-1616-SCL","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"USB-HUB4","4-Port 5Gbps Superspeed USB 3.2 Hub","","Unclassified","Product","General AV","medium","General fallback classification"
"USB-HUB4","4-Port 5Gbps Superspeed USB 3.2 Hub","Accessory","Unclassified","Product","General AV","medium","General fallback classification"
"AMP-2120","Advanced 2 or 4 Channel Amplifier","","Amplifier","Audio amplifier","Audio","high","AMP SKU or amplifier naming"
"AMP-2120","Advanced 2 or 4 Channel Amplifier","Audio / Control","Amplifier","Audio amplifier","Audio","high","AMP SKU or amplifier naming"
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","","Speaker","Loudspeaker","Audio","high","Speaker naming"
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","Audio / Control","Speaker","Loudspeaker","Audio","high","Speaker naming"
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"CAB-UAOC-15","USB 3.2 Active Optical Extension Cable","","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"CAB-UAOC-15","USB 3.2 Active Optical Extension Cable","Cable","Cable","Cable / active optical cable","Cables","high","CAB SKU or cable naming"
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"CAM-0402-NDI-BRG","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"CAM-0402-NDI-BRG","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"CAM-420-PTZ","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","","Speaker","Loudspeaker","Audio","high","Speaker naming"
"CAM-420-PTZ","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","Camera / Capture","Speaker","Loudspeaker","Audio","high","Speaker naming"
"EX-100-KVM-8K","100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-100-KVM-8K","100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-35-8K","35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-35-8K","35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-60D-KVM","60m Dual HDMI KVM Extender","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-60D-KVM","60m Dual HDMI KVM Extender","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-70-H2C","EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EX-70-H2C","EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EXF-10KM-5K","5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EXF-10KM-5K","5K30Hz 4:4:4 SDVoE Fiber Extender - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"EXP-CON-DAC-D","WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"EXP-CON-DAC-D","WyreStorm Essentials? Dolby? 5.1 Downmixer| WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
"IDB-200-NA","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and Mains","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-200-NA","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and Mains","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-EU-C","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and RJ-45","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-EU-C","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and RJ-45","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-NA","Flip Up In-Desk Connectivity with Power - WyreStorm","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-400-NA","Flip Up In-Desk Connectivity with Power - WyreStorm","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-SPINE","Under-Desk Cable Management Spine with Adjustable Height","","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"IDB-SPINE","Under-Desk Cable Management Spine with Adjustable Height","Accessory","Cable Management","In-desk cable box","Cable management","high","IDB SKU pattern"
"MV-0401-PRO","4-Input 4K60 Multiview Processor for NetworkHD","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"MV-0401-PRO","4-Input 4K60 Multiview Processor for NetworkHD","Video Processor","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"MXV-0808-H2A-MK2","4K60 8x8 HDMI Matrix","","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MXV-0808-H2A-MK2","4K60 8x8 HDMI Matrix","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"NHD-110-RX","1080p HD Low Bandwidth AV over IP Decoder - WyreStorm","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-110-RX","1080p HD Low Bandwidth AV over IP Decoder - WyreStorm","NetworkHD AVoIP","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-120-RX-S","NetworkHD 120 Series 4K30 4:2:0 Decoder with Sealoc Protection - WyreStorm","","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-120-RX-S","NetworkHD 120 Series 4K30 4:2:0 Decoder with Sealoc Protection - WyreStorm","NetworkHD AVoIP","NetworkHD 100","AV-over-IP endpoint","AV-over-IP","high","NHD-1xx SKU pattern"
"NHD-124-RACK-1U","1U 2-Slot Rack Mount for NetworkHD NHD-124-TX","","NetworkHD 100","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-124-RACK-1U","1U 2-Slot Rack Mount for NetworkHD NHD-124-TX","Accessory","NetworkHD 100","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-128-NDI-TRX","WyreStorm NHD-128-NDI-TRX 4K30 NDI to AV over IP Gateway","","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"NHD-128-NDI-TRX","WyreStorm NHD-128-NDI-TRX 4K30 NDI to AV over IP Gateway","Camera / Capture","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"NHD-600-E-RX","4K60 4:4:4 SDVoE Decoder with Zero-Latency Video and PoE+ Power","","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-600-E-RX","4K60 4:4:4 SDVoE Decoder with Zero-Latency Video and PoE+ Power","NetworkHD AVoIP","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-600-E-TX","4K60 4:4:4 SDVoE Encoder with Zero-Latency Video and PoE+ Power","","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-600-E-TX","4K60 4:4:4 SDVoE Encoder with Zero-Latency Video and PoE+ Power","NetworkHD AVoIP","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"SP-0102-H2","4K60 1:2 HDMI Splitter - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"SP-0102-H2","4K60 1:2 HDMI Splitter - WyreStorm","Splitter / Distribution","Unclassified","Product","General AV","medium","General fallback classification"
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","Presentation / Room Core","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","Unified Comms","Switcher / processor","Switcher / processor","Switching / processing","high","SW SKU pattern"
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"SWX-100-IW-UX","100m 4K60 HDBaseT 3.0 In-Wall KVM Extender with USB-C and HDMI","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"SWX-100-IW-UX","100m 4K60 HDBaseT 3.0 In-Wall KVM Extender with USB-C and HDMI","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"SYN-KIT-130-EU","In-Wall Presentation Kit with Control (EU) - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-130-EU","In-Wall Presentation Kit with Control (EU) - WyreStorm","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-130-US","In-Wall Presentation Kit with Control - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-130-US","In-Wall Presentation Kit with Control - WyreStorm","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-510-EU","Advanced Presentation Kit with Control (EU) - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-510-EU","Advanced Presentation Kit with Control (EU) - WyreStorm","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-510-US","Advanced Presentation Kit with Control - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"SYN-KIT-510-US","Advanced Presentation Kit with Control - WyreStorm","Presentation / Room Core","Unclassified","Product","General AV","medium","General fallback classification"
"TS-280-US","2.8"" Serial Control Color Touchscreen - WyreStorm","","Unclassified","Product","General AV","medium","General fallback classification"
"TS-280-US","2.8"" Serial Control Color Touchscreen - WyreStorm","Audio / Control","Unclassified","Product","General AV","medium","General fallback classification"
