sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"MX-0403-H3-MST","Synergy 4K60Hz HDR 4x3 HDMI & USB-C Matrix Switcher with MST & HDBaseT 3.0 Output","","Presentation Switcher","Room core / presentation switcher","Presentation switching","high","MST presentation switcher naming"
"MX-0403-H3-MST","Synergy 4K60Hz HDR 4x3 HDMI & USB-C Matrix Switcher with MST & HDBaseT 3.0 Output","Presentation / Room Core","Presentation Switcher","Room core / presentation switcher","Presentation switching","high","MST presentation switcher naming"
"MX-0404-HDMI","4K60Hz 4:4:4 4x4 HDMI Matrix","","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0404-HDMI","4K60Hz 4:4:4 4x4 HDMI Matrix","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0404-KIT","4K60Hz 4:2:0 4x4 (3 HDBaseT TM , 1 HDMI) Matrix","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MX-0404-KIT","4K60Hz 4:2:0 4x4 (3 HDBaseT TM , 1 HDMI) Matrix","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MX-0404-SCL","4K60Hz 4:4:4 4x4 HDMI Matrix","","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-0404-SCL","4K60Hz 4:4:4 4x4 HDMI Matrix","Matrix Switcher","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-0804-EDC","4K60Hz 4:4:4 8x4 Seamless Matrix","","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0804-EDC","4K60Hz 4:4:4 8x4 Seamless Matrix","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0808-H2A-MK2","4K60Hz 4:4:4 8x8 HDMI Matrix","","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0808-H2A-MK2","4K60Hz 4:4:4 8x8 HDMI Matrix","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-0808-KIT-V2","4K60Hz 4:2:0 8x8 HDBaseT TM Matrix","","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MX-0808-KIT-V2","4K60Hz 4:2:0 8x8 HDBaseT TM Matrix","Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","high","Matrix product with HDBaseT naming"
"MX-0808-SCL","4K60 4:4:4 8x8 Seamless Scaling HDMI Matrix with USB-C","","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-0808-SCL","4K60 4:4:4 8x8 Seamless Scaling HDMI Matrix with USB-C","Matrix Switcher","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-0812-SCL","4K60 4:4:4 8x12 Advanced Seamless Scaling HDMI Matrix","","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-0812-SCL","4K60 4:4:4 8x12 Advanced Seamless Scaling HDMI Matrix","Matrix Switcher","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
"MX-1007-HYB","4K60Hz 4:4:4 10x7 Seamless Matrix","","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-1007-HYB","4K60Hz 4:4:4 10x7 Seamless Matrix","Matrix Switcher","Matrix","Matrix switcher","Matrix switching","high","MX / MXV / EXP-MX SKU pattern"
"MX-1616-SCL","16 Slot - 4K60Hz 4:4:4 Seamless Empty Custom Matrix Chassis","","Seamless Matrix","Seamless scaling matrix switcher","Matrix switching / multiview","high","SCL matrix SKU pattern"
