sku,lifecycle_status,business_status,do_not_spec,successor,reason,evidence_source,last_reviewed,reviewer
MXV-70,do-not-spec,do-not-spec,true,,Synced from the existing doNotUse decision in data/wyrestorm-lifecycle-manual-decisions.json: blocked from governed story references and customer-facing recommendation copy.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-07-12,Claude research pass (verified against live wyrestorm.com pages/search)
NETWORKHDTOUCHTM,discontinued,discontinued,true,NHD-TOUCH,"Duplicate catalogue record for the same free NetworkHD companion control app already represented by NHD-TOUCH (which WyreStorm's own 2026 discontinued business list also lists as discontinued, likely superseded by the newer Companion Control App). Consolidated onto NHD-TOUCH rather than keeping two records for one product.",WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-07-12,Claude research pass (verified against live wyrestorm.com pages/search)
NHD-000-CTL,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-000-RACK3,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-000-RACK4,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-0401-MV,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-100,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-110-RX,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-110-RX-S,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-110-TX,discontinued,discontinued,true,,Listed in the current WyreStorm discontinued business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-120-IW-TX,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-120-RX,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
NHD-120-RX-S,do-not-spec,do-not-spec,true,,Synced from the existing doNotUse decision in data/wyrestorm-lifecycle-manual-decisions.json: blocked from governed story references and customer-facing recommendation copy.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-07-12,Claude research pass (verified against live wyrestorm.com pages/search)
NHD-120-TX,active,active,false,,Listed in the current WyreStorm active-SKU business list.,WyreStorm Active SKU 2026.txt; WyreStorm Discon Products 2026.txt; Wyrestorm Do Not Spec List 2026.txt; Wyrestorm Cables 2026.txt,2026-06-28,Wingman lifecycle-list import
