"Extension","Files","MB"
".bak-encoding-repair-20260622-142147","1","0.87"
".bak-guru-visibility-fix-20260622-150850","1","0.87"
".bak-pill-cleanup-20260622-141917","1","0.87"
".bak-remove-unrelated-compare-css-20260622-142445","1","0.87"
".bak-guru-compact-20260622-162317","1","0.87"
".bak-compare-dropdown-dark-20260610-150320","1","0.85"
".diff","2","0.77"
".bak-compare-scroll-20260610-145807","1","0.76"
".backup-compare-density-20260615-121247","1","0.75"
".bak-product-discussion-fill-inner-space-20260612-122549","1","0.68"
".bak-product-call-card-fill-viewport-20260612-121742","1","0.67"
".bak-product-discussion-object-scale-20260612-122200","1","0.67"
".bak-product-call-card-layout-20260612-121431","1","0.67"
".bak-product-discussion-object-scale-20260612-121925","1","0.67"
".bak-product-discussion-object-scale-20260612-121937","1","0.67"
".bak-accessory-language-20260612-084803","2","0.6"
".backup-20260710-081932","2","0.6"
".bak-targeted-checks-20260612-085703","2","0.6"
".backup-20260710-074540","2","0.59"
".backup-20260710-094314","2","0.58"
".backup-20260710-065535","4","0.57"
".backup-20260710-073259","2","0.57"
".backup-20260710-072350","1","0.56"
".backup-20260710-062749","4","0.56"
".backup-20260710-062527","4","0.56"
".backup-20260710-071454","2","0.55"
".bak-tech-family-repair-20260612-080224","1","0.54"
".backup-20260710-063723","2","0.54"
".backup-20260710-061938","1","0.53"
".backup-20260710-055434","1","0.53"
".backup-20260710-054527","1","0.52"
".backup-20260710-054102","1","0.51"
".backup-20260710-054308","1","0.51"
".backup-20260710-053448","1","0.5"
".bak-final-mojibake-clean-20260627-190641","1","0.5"
".backup-20260710-054025","1","0.5"
".backup-20260710-053542","1","0.5"
".backup-20260710-052933","2","0.5"
".backup-20260710-053113","2","0.5"
".backup-20260710-053339","1","0.49"
".ps1","34","0.34"
".cjs","13","0.31"
".bak-before-official-copy-20260612-075106","1","0.27"
".bak-line-clean-discovery-mojibake-20260627-190549","1","0.26"
".log","40","0.23"
".bak-fix-discovery-mojibake-20260627-190448","1","0.19"
".bak-reset-visible-first-step-20260627-190148","1","0.12"
".bak-template-seed-final-repair-20260627-080035","3","0.09"
".before","3","0.08"
".bak-discovery-reset-blank-20260627-185703","1","0.08"
".bak-invalid-hook-repair-20260612-094303","1","0.07"
".bak-inline-gallery-repair-20260612-094113","1","0.07"
".bak-gallery-scope-repair-20260612-093957","1","0.07"
".svg","32","0.07"
".bak-stabilise-gallery-examples-20260612-115649","1","0.07"
".bak-product-call-card-layout-css-clean-20260612-121431","1","0.07"
".bak-discovery-reset-blank-20260627-185548","1","0.07"
".bak-fix-broken-import-block-20260627-090831","1","0.07"
".bak-add-seed-import-20260627-080212","1","0.07"
