"Selector","Occurrences","Files"
".wm-dashboard-shell .wm-dashboard-projects-section","6","src\wingman2\styles\wingman-style-stack.css"
".wm-template-detail-actions","6","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] .wm-navhub-secondary-grid.wm-polish-grid","6","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host.wingman-page-host .wm-navhub-page.wm-polish-shell .wm-polish-grid > .wm-navhub-card.wm-polish-card.wm-polish-card","6","src\wingman2\styles\wingman-polish-navigation.css"
"@media (max-width: 640px)","6","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-product-pitch-hero","5","src\wingman2\styles\wingman-style-stack.css"
".wm-product-call-cards-hero","5","src\wingman2\styles\wingman-style-stack.css"
".wingman-brand-image","5","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-project-detail-nav","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-cr-hero","5","src\wingman2\styles\wingman-style-stack.css"
"h4","5","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm20-panel[data-wingman-discovery-capture=""true""]","5","src\wingman2\styles\wingman-style-stack.css"
".cca-header","5","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] > .wm-navhub-secondary .wm-polish-grid > .wm-navhub-card.wm-polish-card.wm-polish-card","5","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-resume-head","5","src\wingman2\styles\wingman-style-stack.css"
".wm-stepper","5","src\wingman2\styles\wingman-style-stack.css"
"p)","5","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"main.wm-compare-page[data-compare-state=""result""] .compare-result-toolbar","5","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-intel-hero","5","src\wingman2\styles\wingman-style-stack.css"
".wm-section-card","5","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-command-band > .wm-dashboard-rail","5","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 1380px)","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-page","5","src\wingman2\styles\wingman-style-stack.css"
".wingman-new-project-button","5","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"main.wingman-app-main > .wingman-page-host","5","src\wingman2\styles\wingman-style-stack.css"
".wm-template-hero","5","src\wingman2\styles\wingman-style-stack.css"
"div)","5","src\wingman2\styles\wingman-style-stack.css"
".wm-template-card-grid","5","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-projects-page","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-battle-card__hero","5","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host","5","src\wingman2\styles\wingman-style-stack.css"
".wm-ui-card","5","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-ui-button","5","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route] .wingman-page-host :is( .wingman-page-hero","5","src\wingman2\styles\wingman-style-stack.css"
"li","5","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-rail","5","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""salesHelper""] .wm-sh-card-grid","5","src\wingman2\styles\wingman-style-stack.css"
"span","5","src\wingman2\styles\wingman-style-stack.css"
"#root","5","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-product-family-page","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-filter-panel","5","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-results-header","5","src\wingman2\styles\wingman-style-stack.css"
".wm-pcc-select-shell","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] > .wm-navhub-grid.wm-polish-grid","5","src\wingman2\styles\wingman-style-stack.css"
"0%","5","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"100%","5","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-template-pack-grid","5","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-card-grid","5","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-manager-page","5","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-signal-map","5","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-card-copy","5","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-resume-meta","5","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-redesign-page .wingman-page-hero","5","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-page","5","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-toolbar","5","src\wingman2\styles\wingman-style-stack.css"
"html body .wingman-page-host .wm-navhub-page.wm-polish-shell[data-wingman-page-key=""Products""] .wm-polish-grid > .wm-navhub-card.wm-polish-card > .wm-polish-card-copy.wm-polish-card-copy","5","src\wingman2\styles\wingman-style-stack.css"
".wm-glossary-workspace","5","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .finder-specialist-grid","5","src\wingman2\styles\wingman-style-stack.css"
".wm-sh-page-hero","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-question-card","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""dashboard""] main.wm-dashboard-shell > aside.wm-dashboard-rail","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-hero","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""templates""] .wm-solution-card-grid","4","src\wingman2\styles\wingman-workflow-theme.css"
"main.wm-dashboard-shell[data-wingman-page=""home""] .wm-dashboard-rail-actions","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-rail-actions","4","src\wingman2\styles\wingman-style-stack.css"
"header.wm-header","4","src\wingman2\styles\wingman-style-stack.css"
".wm-select","4","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-topbar","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-hero-compact","4","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 1400px)","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-trail-card","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""discovery""] .wm-discovery-completion-card","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""discovery""] .wm-discovery-capture-hero","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".vw2-hero","4","src\wingman2\styles\wingman-style-stack.css"
