"Type","Relative","Bytes","Reason"
"File","src\wingman2\pages\ProjectDetailPage.test.tsx.20260806-122503.bak","4068","Backup file"
"File","src\wingman2\pages\ProjectDetailPage.tsx.20260806-121952.bak","52812","Backup file"
"File","src\wingman2\pages\ProjectsPage.tsx.20260806-121952.bak","12661","Backup file"
"File","src\wingman2\styles\wingman-navigation-hub-cascade-lock.css.20260718-185838.bak","13990","Backup file"
"File","src\wingman2\styles\wingman-navigation-hub-cascade-lock.css.20260718-193044.bak","17757","Backup file"
"File","src\wingman2\styles\wingman-navigation-hub-cascade-lock.css.20260718-194100.bak","21945","Backup file"
"File","src\wingman2\styles\wingman-product-tools-visual-weight.css.20260720-104654.bak","4105","Backup file"
"File","src\wingman2\styles\wingman-product-tools-visual-weight.css.20260720-105533.bak","4228","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260714-121100.bak","30779","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260714-133506.bak","31259","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260714-134732.bak","32333","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260714-135046.bak","32333","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260720-110423.bak","33956","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260724-092644.bak","35255","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260724-093153.bak","35255","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260724-105435.bak","35251","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260724-110046.bak","35255","Backup file"
"File","src\wingman2\styles\wingman-reference-theme.css.20260724-111028.bak","35255","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260712-143821.bak","1161971","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260712-145428.bak","1162012","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260714-115319.bak","600869","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260714-115422.bak","600869","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260719-104349.bak","646099","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260719-122221.bak","658300","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260719-132507.bak","665667","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260722-084842.bak","673904","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260805-162647.bak","721904","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.20260806-121952.bak","721904","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.before-marker-cleanup.bak","579563","Backup file"
"File","src\wingman2\styles\wingman-style-stack.css.before-visual-tidy.bak","1148301","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260713-161141.bak","22185","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260713-161339.bak","24345","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260713-172017.bak","24345","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260713-172759.bak","26879","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260713-173326.bak","25422","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260806-133235.bak","163542","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260806-134101.bak","166801","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260806-134605.bak","165986","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260806-152541.bak","165693","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260811-134046.bak","172792","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260811-135347.bak","172792","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260811-140507.bak","178782","Backup file"
"File","src\wingman2\styles\wingman-workflow-theme.css.20260811-140948.bak","182648","Backup file"
