"Path","TopFolder","Extension","Bytes","KB"
"tools\audit-legacy-override-retirement.mjs","tools",".mjs","7179","7.01"
"tools\check-size-budgets.mjs","tools",".mjs","7111","6.94"
"tools\audit-competitor-technical-spec-completeness.mjs","tools",".mjs","7092","6.93"
"tools\audit-product-technical-spec-completeness.mjs","tools",".mjs","6710","6.55"
"tools\remove-room-template-blank-discovery-header.mjs","tools",".mjs","6635","6.48"
"tools\audit-room-template-advisor.mjs","tools",".mjs","6630","6.47"
"tools\check-dependency-audit.mjs","tools",".mjs","6485","6.33"
"tools\compact-room-templates-page.mjs","tools",".mjs","6389","6.24"
"tools\repair-wingman-page-scrolling.mjs","tools",".mjs","6278","6.13"
"tools\audit-wingman-route-registry-direct.mjs.20260718-190553.bak","tools",".bak","6132","5.99"
"tools\audit-wingman-route-registry-direct.mjs.20260718-190611.bak","tools",".bak","6132","5.99"
"tools\audit-wingman-route-registry-direct.mjs","tools",".mjs","6132","5.99"
"tools\force-product-intelligence-chip-dark-source.mjs","tools",".mjs","6131","5.99"
"tools\check-wingman-style-drift-baseline.mjs","tools",".mjs","6118","5.97"
"tools\fix-product-intelligence-review-status-chips.mjs","tools",".mjs","6073","5.93"
"tools\check-wingman-navigation-consolidation.mjs","tools",".mjs","6044","5.9"
"tools\migrate-wingman-page-frames.mjs","tools",".mjs","5987","5.85"
"tools\workflow-integration-check.mjs","tools",".mjs","5983","5.84"
"tools\check-vendor-refresh-sanity.mjs","tools",".mjs","5836","5.7"
"tools\browser-smoke-check.mjs","tools",".mjs","5751","5.62"
"tools\check-wingman-runtime-wiring.mjs.20260718-190553.bak","tools",".bak","5611","5.48"
"tools\compact-room-templates-page-safe.mjs","tools",".mjs","5524","5.39"
"tools\lib\wingman-size-budgets.test.mjs","tools",".mjs","5507","5.38"
"tools\check-orphaned-modules.mjs","tools",".mjs","5440","5.31"
"tools\verify-supabase-rls.mjs","tools",".mjs","5360","5.23"
"tools\fix-wingman-scroll-and-disabled-button-contrast.mjs","tools",".mjs","5320","5.2"
"tools\check-orphaned-modules.mjs.20260811-133755.bak","tools",".bak","5250","5.13"
"tools\check-room-template-sku-lifecycle.mjs","tools",".mjs","5222","5.1"
"tools\normalize-wingman-page-visual-classes.mjs","tools",".mjs","5204","5.08"
"tools\import-wyrestorm-lifecycle-lists.mjs","tools",".mjs","5129","5.01"
"tools\check-classification-consistency.mjs","tools",".mjs","5092","4.97"
"tools\audit-wingman-style-drift.mjs","tools",".mjs","5044","4.93"
"tools\check-wingman-page-markup-migration.mjs","tools",".mjs","5025","4.91"
"tools\check-retired-wingman-features.mjs","tools",".mjs","5022","4.9"
"tools\guard-wingman-css-imports.mjs","tools",".mjs","5015","4.9"
"tools\normalize-wyrestorm-catalogue-source.mjs","tools",".mjs","4926","4.81"
"tools\admin-product-db.mjs","tools",".mjs","4855","4.74"
"tools\sanitize-product-intelligence-index.mjs","tools",".mjs","4784","4.67"
"tools\product-update-utils.mjs","tools",".mjs","4767","4.66"
"tools\fix-intelligence-needs-review-pill-exact.mjs","tools",".mjs","4551","4.44"
"tools\check-wingman-data-maintenance.mjs","tools",".mjs","4541","4.43"
"tools\check-wingman-runtime-wiring.mjs.20260718-190611.bak","tools",".bak","4306","4.21"
"tools\check-wingman-runtime-wiring.mjs","tools",".mjs","4306","4.21"
"tools\repair-wingman-page-markup-migration.mjs","tools",".mjs","4282","4.18"
"tools\promote-product-source-incoming.mjs","tools",".mjs","4277","4.18"
"tools\check-compare-battle-card-alignment.mjs","tools",".mjs","4207","4.11"
"tools\audit-compare-candidate-gate.mjs","tools",".mjs","4182","4.08"
