"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"archive\_wingman_backup_compare_start_cleanup_20260613-214227\src\wingman2\styles\wingman-style-stack.css","707.49","23123","7494","6","0","160"
"archive\_wingman_backup_before_compare_restore_20260614-052137\src_wingman2_styles_wingman-style-stack.css","707.31","23286","7354","7","0","158"
"archive\_wingman_backup_remove_compare_matrix_stage_20260613-214049\src\wingman2\styles\wingman-style-stack.css","706.79","23104","7488","6","0","159"
"archive\_wingman_backup_fix_compare_reset_blank_page_20260613-212847\src\wingman2\styles\wingman-style-stack.css","706.6","23080","7474","6","0","159"
"archive\_wingman_backup_compare_badge_contrast_20260614-074744\wingman-style-stack.css","706.22","23092","7408","6","0","157"
"archive\_wingman_backup_compare_direct_results_20260613-213828\src\wingman2\styles\wingman-style-stack.css","706.11","23085","7481","6","0","159"
"archive\_wingman_backup_guru_movable_20260614-050939\src\wingman2\styles\wingman-style-stack.css","705.83","23240","7352","6","0","158"
"archive\_wingman_backup_fix_compare_reset_suppression_20260613-213320\src\wingman2\styles\wingman-style-stack.css","705.46","23063","7473","6","0","159"
"archive\_wingman_backup_restore_guru_compare_20260614-062659\wingman-style-stack.css","705.23","23043","7379","6","0","157"
"archive\_wingman_backup_fix_compare_reset_20260613-212257\src\wingman2\styles\wingman-style-stack.css","705.18","23052","7471","6","0","159"
"archive\_wingman_backup_remove_duplicate_guru_20260614-064058\wingman-style-stack.css","704.99","23051","7376","6","0","157"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\styles\wingman-style-stack.css","704.97","23039","7378","6","0","157"
"archive\_wingman_backup_restore_sweeping_guru_20260614-064242\src\wingman2\styles\wingman-style-stack.css","704.97","23057","7389","6","0","157"
"archive\_wingman_backup_guru_icon_fix_20260614-051319\wingman-style-stack.css","704.82","23192","7354","6","0","158"
"archive\_wingman_backup_restore_global_guru_20260614-064442\src\wingman2\styles\wingman-style-stack.css","704.72","23044","7385","6","0","157"
"archive\_wingman_backup_compare_guru_mic_repair_20260614-062500\wingman-style-stack.css","704.58","23046","7372","6","0","157"
"archive\_wingman_backup_mic_scope_20260614-061410\wingman-style-stack.css","702.85","23000","7370","6","0","157"
"archive\_wingman_backup_clean_wireless_compare_result_20260613-211951\src\wingman2\styles\wingman-style-stack.css","701.19","22918","7387","6","0","158"
"archive\_wingman_backup_before_reversing_compare_ui_polish_20260613-204652\src\wingman2\styles\wingman-style-stack.css","701.04","22910","7352","6","0","156"
